Time, Month, Ecoregion, NumSites,PPT, T, NPPC, Resp, NEE, Ndeposition, Nvolatilization
5, 7, eco3, 1,10.1, 19.3, 181.91, 40.54, -141.37, 0.61, 1.12 
5, 8, eco3, 1,11.5, 18.0, 238.67, 36.49, -202.18, 0.70, 1.12 
5, 9, eco3, 1,9.9, 13.3, 115.55, 25.64, -89.92, 0.60, 1.12 
5, 10, eco3, 1,6.8, 7.3, 0.13, 92.52, 92.39, 0.41, 1.12 
5, 11, eco3, 1,5.8, -1.1, 0.00, 15.89, 15.89, 0.35, 1.12 
5, 12, eco3, 1,3.3, -8.5, 0.00, 49.03, 49.03, 0.20, 1.12 
5, 1, eco3, 1,3.1, -12.0, 0.00, 9.09, 9.09, 0.19, 1.12 
5, 2, eco3, 1,2.3, -10.1, 0.00, 9.99, 9.99, 0.14, 1.12 
5, 3, eco3, 1,4.6, -4.2, 0.00, 6.21, 6.21, 0.28, 1.12 
5, 4, eco3, 1,6.0, 4.3, 0.00, 23.78, 23.78, 0.36, 1.12 
5, 5, eco3, 1,8.4, 11.5, 35.83, 34.19, -1.63, 0.51, 1.12 
5, 6, eco3, 1,9.7, 16.7, 182.14, 41.98, -140.15, 0.59, 1.12 
10, 7, eco3, 1,10.1, 19.3, 236.79, 51.64, -185.15, 0.61, 0.78 
10, 8, eco3, 1,11.5, 18.0, 300.13, 46.14, -253.99, 0.70, 0.78 
10, 9, eco3, 1,9.9, 13.3, 138.29, 32.16, -106.13, 0.60, 0.78 
10, 10, eco3, 1,6.8, 7.3, 0.13, 118.75, 118.62, 0.41, 0.78 
10, 11, eco3, 1,5.8, -1.1, 0.00, 20.42, 20.42, 0.35, 0.78 
10, 12, eco3, 1,3.3, -8.5, 0.00, 63.02, 63.02, 0.20, 0.78 
10, 1, eco3, 1,3.1, -12.0, 0.00, 11.50, 11.50, 0.19, 0.78 
10, 2, eco3, 1,2.3, -10.1, 0.00, 12.64, 12.64, 0.14, 0.78 
10, 3, eco3, 1,4.6, -4.2, 0.00, 7.85, 7.85, 0.28, 0.78 
10, 4, eco3, 1,6.0, 4.3, 0.00, 30.14, 30.14, 0.36, 0.78 
10, 5, eco3, 1,8.4, 11.5, 45.77, 43.32, -2.45, 0.51, 0.78 
10, 6, eco3, 1,9.7, 16.7, 235.72, 53.09, -182.62, 0.59, 0.78 
15, 7, eco3, 1,10.1, 19.3, 274.85, 62.68, -212.17, 0.61, 0.33 
15, 8, eco3, 1,11.5, 18.0, 342.93, 56.07, -286.86, 0.70, 0.33 
15, 9, eco3, 1,9.9, 13.3, 154.51, 39.08, -115.43, 0.60, 0.33 
15, 10, eco3, 1,6.8, 7.3, 0.12, 138.68, 138.56, 0.41, 0.33 
15, 11, eco3, 1,5.8, -1.1, 0.00, 23.77, 23.77, 0.35, 0.33 
15, 12, eco3, 1,3.3, -8.5, 0.00, 73.40, 73.40, 0.20, 0.33 
15, 1, eco3, 1,3.1, -12.0, 0.00, 13.69, 13.69, 0.19, 0.33 
15, 2, eco3, 1,2.3, -10.1, 0.00, 15.06, 15.06, 0.14, 0.33 
15, 3, eco3, 1,4.6, -4.2, 0.00, 9.36, 9.36, 0.28, 0.33 
15, 4, eco3, 1,6.0, 4.3, 0.00, 36.00, 36.00, 0.36, 0.33 
15, 5, eco3, 1,8.4, 11.5, 52.92, 51.85, -1.07, 0.51, 0.33 
15, 6, eco3, 1,9.7, 16.7, 274.20, 63.72, -210.48, 0.59, 0.33 
20, 7, eco3, 1,10.1, 19.3, 232.88, 65.74, -167.13, 0.61, 0.15 
20, 8, eco3, 1,11.5, 18.0, 234.49, 59.71, -174.77, 0.70, 0.15 
20, 9, eco3, 1,9.9, 13.3, 68.91, 42.15, -26.75, 0.60, 0.15 
20, 10, eco3, 1,6.8, 7.3, 0.01, 117.02, 117.01, 0.41, 0.15 
20, 11, eco3, 1,5.8, -1.1, 0.00, 19.64, 19.64, 0.35, 0.15 
20, 12, eco3, 1,3.3, -8.5, 0.00, 60.72, 60.72, 0.20, 0.15 
20, 1, eco3, 1,3.1, -12.0, 0.00, 13.15, 13.15, 0.19, 0.15 
20, 2, eco3, 1,2.3, -10.1, 0.00, 14.53, 14.53, 0.14, 0.15 
20, 3, eco3, 1,4.6, -4.2, 0.00, 9.07, 9.07, 0.28, 0.15 
20, 4, eco3, 1,6.0, 4.3, 0.00, 35.01, 35.01, 0.36, 0.15 
20, 5, eco3, 1,8.4, 11.5, 43.15, 50.91, 7.75, 0.51, 0.15 
20, 6, eco3, 1,9.7, 16.7, 267.60, 63.42, -204.17, 0.59, 0.15 
25, 7, eco3, 1,10.1, 19.3, 218.68, 67.02, -151.67, 0.61, 0.14 
25, 8, eco3, 1,11.5, 18.0, 217.31, 61.45, -155.86, 0.70, 0.14 
25, 9, eco3, 1,9.9, 13.3, 63.83, 43.73, -20.10, 0.60, 0.14 
25, 10, eco3, 1,6.8, 7.3, 0.00, 112.66, 112.66, 0.41, 0.14 
25, 11, eco3, 1,5.8, -1.1, 0.00, 18.76, 18.76, 0.35, 0.14 
25, 12, eco3, 1,3.3, -8.5, 0.00, 58.05, 58.05, 0.20, 0.14 
25, 1, eco3, 1,3.1, -12.0, 0.00, 13.26, 13.26, 0.19, 0.14 
25, 2, eco3, 1,2.3, -10.1, 0.00, 14.68, 14.68, 0.14, 0.14 
25, 3, eco3, 1,4.6, -4.2, 0.00, 9.18, 9.18, 0.28, 0.14 
25, 4, eco3, 1,6.0, 4.3, 0.00, 35.49, 35.49, 0.36, 0.14 
25, 5, eco3, 1,8.4, 11.5, 41.29, 51.82, 10.53, 0.51, 0.14 
25, 6, eco3, 1,9.7, 16.7, 262.21, 64.95, -197.26, 0.59, 0.14 
